DatasetID,CommitId,tentative_type,status,hub,renamed_to,evidence_file
DrewLab/hu.MAP_3.0,8cdd89d5ffc6ba3fcd44b21980c110e7fcd510f5,column/field add-remove,archived,reachable (HTTP 200),,DrewLab__hu.MAP_3.0__8cdd89d5ff.txt
DrewLab/hu.MAP_3.0,a4b26cc5c994565626d55f4c81b0641184930626,column/field add-remove,archived,reachable (HTTP 200),,DrewLab__hu.MAP_3.0__a4b26cc5c9.txt
n3p7un/KitsuneSystemAttackData_osScanDataset,87f462d8c1b93841865fc2af3211812bec883565,rename/split-standardization,archived,reachable (HTTP 200),,n3p7un__KitsuneSystemAttackData_osScanDataset__87f462d8c1.txt
n3p7un/KitsuneSystemAttackData_osScanDataset,66994ef5b5214f738a3d36ec06129b6cc9d39021,merge,archived,reachable (HTTP 200),,n3p7un__KitsuneSystemAttackData_osScanDataset__66994ef5b5.txt
jag2023/10K_bug_reports,28a5470d761494976d1bc15ec89f3a31d9c99990,cleaning,archived,reachable (HTTP 200),,jag2023__10K_bug_reports__28a5470d76.txt
ahruf/DrugFormDB,ba4fc670c501dd680d2f5ce1aaf097fd576b7386,cleaning,archived,reachable (HTTP 200),,ahruf__DrugFormDB__ba4fc670c5.txt
takarahomes/mlit-japan-real-estate-price-2005-2024q3,2055e8d1fa209de67e2a67a3c64cea0bd0d129c0,normalize/standardize/encode,archived,reachable (HTTP 200),,takarahomes__mlit-japan-real-estate-price-2005-2024q3__2055e8d1fa.txt
hanR07/safe_packets,ad7067d7ef582badb445c5e8af2b9dc75b0ecaa1,normalize/standardize/encode,archived,reachable (HTTP 200),,hanR07__safe_packets__ad7067d7ef.txt
hanR07/safe_packets,2317c075641267be0b4dd16d9cd93aa3e2336249,normalize/standardize/encode,archived,reachable (HTTP 200),,hanR07__safe_packets__2317c07564.txt
hanR07/safe_packets,befdbce8b5ef6dfc218c1e467adce2d4146e44ec,normalize/standardize/encode,archived,reachable (HTTP 200),,hanR07__safe_packets__befdbce8b5.txt
